income,Year,Country,population,enrol,Teacher,dropout,student_to_1_teacher
LM,2016,Georgia,140870,137453,18368,0.02425640661602896,7
LM,2016,Armenia,214036,109330,15276,0.48919807882786076,7
LM,2016,Georgia,263764,136709,18712,0.4816995495973673,7
LM,2016,Bhutan,29794,19658,2454,0.3402027253809492,8
LM,2016,Uzbekistan,2545337,2410170,274330,0.053103773684977665,9
LM,2016,Uzbekistan,4220804,3908744,374585,0.0739337813364468,10
LM,2016,Guatemala,1112937,407394,41361,0.6339469350017117,10
LM,2016,Bhutan,87167,74393,6515,0.14654628471784048,11
LM,2016,Honduras,628664,250962,23014,0.6008010638433249,11
UM,2016,Grenada,9429,9091,2116,0.035846855445964575,4
UM,2016,Croatia,193286,173475,28611,0.10249578345043096,6
UM,2016,Azerbaijan,625675,582267,83928,0.06937787189834978,7
UM,2016,Croatia,353003,349018,51843,0.011288855902074487,7
UM,2016,Dominica,2424,2041,279,0.15800330033003301,7
UM,2016,Tuvalu,646,369,52,0.42879256965944273,7
UM,2016,Belarus,338121,330567,43285,0.022341114571410827,8
UM,2016,Serbia,566759,545419,66286,0.037652688356073744,8
UM,2016,Tuvalu,1581,1123,134,0.28969006957621757,8
UM,2016,Serbia,278815,255812,30757,0.08250273478830049,8
H,2017,Barbados,7583,3003,577,0.6039825926414348,5
H,2017,Sweden,479341,461746,83663,0.03670664516492434,6
H,2017,Austria,505978,430370.3972,59910.59132,0.14942863681820157,7
H,2017,Uruguay,257364,162463,22433,0.36874232604404655,7
H,2017,New Zealand,124055,117752.7,15058.97815,0.05080246664785783,8
H,2017,Brunei Darussalam,34685,30342,3704,0.12521262793714863,8
H,2017,Germany,4401198,3091694,407132.0632,0.2975335351874649,8
H,2017,Malta,26585,14425,1734.997,0.4574007899191273,8
H,2017,Kuwait,124227,81135,9291,0.34688111280156486,9
H,2017,Greece,652158,649246,69214,0.004465175616951721,9
L,2017,Comoros,49672,22649,5240,0.5440288291190207,4
L,2017,Comoros,121500,67445,12693,0.4448971193415638,5
L,2017,Comoros,71828,44796,7412,0.37634348721946875,6
L,2017,Mali,1141952,323956,24036,0.7163138205458723,13
L,2017,Liberia,334900,167825,11484,0.49888026276500447,15
L,2017,Burundi,643507,264395,16353,0.5891342285320905,16
L,2017,Rwanda,756133,228311,14001,0.6980544428030518,16
L,2017,Mali,2450236,1017415,58364,0.5847685692316985,17
L,2017,Tajikistan,849185,265426,15933,0.6874344224167879,17
L,2017,Madagascar,1707675,392316,21399,0.7702630769906452,18
LM,2017,Georgia,136206,134687,18611,0.011152225305786823,7
LM,2017,Georgia,254064,144337,19724,0.4318872410101392,7
LM,2017,Bhutan,29358,20466,2590,0.30288166768853464,8
LM,2017,Uzbekistan,2544667,2433485,277541,0.043692160899638344,9
LM,2017,Uzbekistan,4170816,3892888,376861,0.06663636084641471,10
LM,2017,Bhutan,85861,75444,6853,0.12132400041928233,11
LM,2017,Indonesia,9318314,5888529,464307,0.36806926660767175,13
LM,2017,Bhutan,56503,54978,4263,0.02698971736014017,13
LM,2017,Ghana,1893691,1610834,119808,0.149368085923205,13
LM,2017,Sri Lanka,683651,484225,35017,0.2917073185002289,14
UM,2017,Cuba,717914,286542,62451,0.6008686277186404,5
UM,2017,Azerbaijan,622310,600926,91580,0.0343622953190532,7
UM,2017,Armenia,200641,104838,15116,0.4774846616593817,7
UM,2017,Belarus,345523,339295,43715,0.018024849286444027,8
UM,2017,Belarus,451510,441480,53548,0.022214347412017454,8
UM,2017,North Macedonia,96596,84734,10897,0.1228001159468301,8
UM,2017,Serbia,563629,538238,66600,0.045049136932272825,8
UM,2017,Jordan,389359,190312,22629,0.5112171543485575,8
UM,2017,Serbia,278247,251884,30658,0.0947467537835089,8
UM,2017,North Macedonia,197832,161128,18435,0.1855311577500101,9
H,2018,Denmark,178766,178127,32390,0.0035745052191132544,5
H,2018,Iceland,13638,13048,2897,0.04326147528963191,5
H,2018,San Marino,1511,699,131,0.5373924553275976,5
H,2018,Barbados,7625,3061,569,0.5985573770491803,5
H,2018,San Marino,1740,739,145,0.575287356321839,5
H,2018,Sweden,475736,462982,82797,0.026808986496712463,6
H,2018,Liechtenstein,1534,1527,274,0.0045632333767926985,6
H,2018,San Marino,2436,1653,283,0.32142857142857145,6
H,2018,Croatia,174636,157954,28457,0.09552440504821458,6
H,2018,San Marino,943,909,129,0.036055143160127257,7
L,2018,Sierra Leone,545878,315500,20250,0.4220320291347151,16
L,2018,Madagascar,1741266,391388,21620,0.7752279088892794,18
L,2018,Madagascar,4238538,1548208,80227,0.6347306547682243,19
L,2018,Madagascar,2497272,1156820,58607,0.5367665196262161,20
L,2018,Burundi,660430,292889,14670,0.5565177233014854,20
L,2018,Madagascar,2207475,874378,39512,0.6039012899353333,22
L,2018,Burkina Faso,1891333,1050354,45431,0.4446488270442064,23
L,2018,Burkina Faso,3146685,1281007,55407,0.5929026896559395,23
L,2018,Burkina Faso,1255352,230653,9976,0.8162642828465642,23
L,2018,Benin,677492,172424,7193,0.7454966257904152,24
LM,2018,Comoros,50597,22940,3332,0.5466134355791845,7
LM,2018,Comoros,123922,73695,8870,0.4053114055615629,8
LM,2018,Bhutan,28914,21087,2683,0.2706993152106246,8
LM,2018,Comoros,73325,50755,5538,0.30780770542107055,9
LM,2018,Bhutan,24676,8499,764,0.655576268438969,11
LM,2018,Bhutan,84601,76221,7048,0.09905320268081938,11
LM,2018,Uzbekistan,4157622,3949245,373767,0.05011927491243793,11
LM,2018,Indonesia,9478512,5909251,465940,0.376563431053313,13
LM,2018,Bhutan,55687,55134,4365,0.009930504426526838,13
LM,2018,Ghana,1927328,1646374,123045,0.1457738381842634,13
UM,2018,Armenia,101365,69249,15534,0.3168351995264638,4
UM,2018,Cuba,715406,296028,61737,0.5862097885676105,5
UM,2018,Maldives,26695,22765,3665,0.14721858025847537,6
